date,Total_PnL,Avg_Execution_Price,Total_Trade_Volume,Total_Fee,Trade_Count,value,classification,Sentiment_Binary,PnL_3D_Mean,PnL_3D_STD,Volume_3D_Mean,TradeCount_3D_Mean
2024-03-24,1297.018477,8.960757894736842,92592.21,8.888837,19,74.0,Greed,1.0,3351.8870503333305,2709.988245395514,142064.54333333348,38.666666666666664
2024-03-25,1302.916428,3582.3,57116.32,19.990712,7,75.0,Extreme Greed,,1645.1476599999976,597.8769299829038,89201.36666666681,18.0
2024-03-26,3215.906593,219.49172627118645,198565.19,28.147403,118,81.0,Extreme Greed,,1938.6138326666642,1106.1719094049135,116091.24000000015,48.0
2024-03-27,150.41114,13627.738306315789,99864.79,31.717952,38,83.0,Extreme Greed,,1556.4113869999974,1548.3896033523931,118515.43333333347,54.333333333333336
2024-03-28,227.851008,803.983042,35323.72,9.059229,13,80.0,Extreme Greed,,1198.0562469999973,1747.9385708394498,111251.23333333345,56.333333333333336
2024-03-29,883.097404,3541.54,86914.37,30.42003,15,79.0,Extreme Greed,,420.45318399999724,402.5282462307151,74034.29333333347,22.0
2024-03-30,1100.57514,0.1972766666666666,101103.92,9.939454,45,75.0,Extreme Greed,,737.1745173333305,454.2928232799767,74447.3366666668,24.333333333333332
2024-03-31,912.786145,3627.730769230769,39912.96,13.969522,13,75.0,Extreme Greed,,965.4862296666639,117.9284342594299,75977.08333333347,24.333333333333332
2024-04-01,2507.963406,1332.2278167402596,339470.47,83.751362,77,79.0,Extreme Greed,,1507.1082303333305,871.8368474977965,160162.45000000013,45.0
2024-04-02,883.760812,3060.7089024390243,239664.51,80.13257399999999,41,79.0,Extreme Greed,,1434.8367876666641,929.4682198551196,206349.31333333347,43.666666666666664
2024-04-03,126.7884,8.3283,16887.57,1.661201,4,71.0,Greed,1.0,1172.8375393333306,1216.6234495578906,198674.18333333347,40.666666666666664
2024-04-04,0.0,3401.434375,95987.73,33.595685,32,70.0,Greed,1.0,336.8497373333306,477.862550623587,117513.27000000014,25.666666666666668
2024-04-05,10706.484306,330.28005890000003,503791.8,103.430138,100,79.0,Extreme Greed,,3611.0909019999976,6145.117939693161,205555.7000000001,45.333333333333336
2024-04-06,236.335134,3328.08125,68223.67,23.878277,16,75.0,Extreme Greed,,3647.606479999998,6114.309502771889,222667.73333333348,49.333333333333336
2024-04-07,0.0,3398.0043478260877,49988.14,17.495845,23,78.0,Extreme Greed,,3647.606479999998,6114.309502771889,207334.53666666683,46.333333333333336
2024-04-08,1218.4267,3295.5374166666666,211940.64,61.790548,30,76.0,Extreme Greed,,484.9206113333309,646.1323087991066,110050.81666666681,23.0
2024-04-09,0.0,3501.3000000000006,57063.84,19.972341,3,80.0,Extreme Greed,,406.1422333333309,703.4589832328705,106330.87333333348,18.666666666666668
2024-04-10,5207.443414,3433.4707317073166,351735.97,123.107562,41,78.0,Extreme Greed,,2141.9567046666643,2723.792848151776,206913.48333333348,24.666666666666668
2024-04-11,389.743164,3521.2125,76400.96,26.740329,16,76.0,Extreme Greed,,1865.7288593333312,2900.5632310164387,161733.59000000014,20.0
2024-04-12,-592.6458390000001,555.2924815968992,442088.59,97.560875,129,79.0,Extreme Greed,,1668.1802463333308,3104.2003585151056,290075.1733333335,62.0
2024-04-13,6621.451755,658.6612459887641,486411.25,118.999176,89,72.0,Greed,1.0,2139.5163599999973,3912.4264468510137,334966.9333333335,78.0
2024-04-14,-36104.01252,1787.6264255140186,659162.17,213.477404,107,72.0,Greed,1.0,-10025.068868000002,22871.254393388273,529220.6700000002,108.33333333333333
